id,timestamp,author,rating,title,text,product,sku,verified,helpful_votes,url
NYK-001,2026-01-26T11:05:22Z,GlowGirl_Mumbai,5,Best serum I've tried!,"The MosaicWellness Glow Serum is everything! Light texture, absorbs immediately, and my dark spots have faded noticeably in 4 weeks. Nykaa delivered quickly and the packaging was gorgeous. I've already converted 3 of my friends!",Glow Serum 30ml,MW-GS-30,true,31,https://nykaa.com/review/NYK-001
NYK-002,2026-01-26T14:30:45Z,SkincareNerd_Bangalore,4,Vitamin C wash - effective but drying for winter,Great brightening face wash. My skin tone has evened out considerably. But in winter it can feel a little drying - I follow with a heavy moisturizer. If you have oily skin this is perfect! The tube design is very hygienic.,Vitamin C Face Wash,MW-VCW-100,true,18,https://nykaa.com/review/NYK-002
NYK-003,2026-01-27T09:20:35Z,HairCareFanatic_Delhi,5,Hair Growth Oil - I'm obsessed!,"Been searching for an effective hair oil for years. MosaicWellness Hair Growth Oil is the answer! It smells divine, is non-greasy, and I can see new baby hairs after 8 weeks. Scalp feels healthier too. Nykaa had a sale so got it at 20% off. Double win!",Hair Growth Oil 100ml,MW-HGO-100,true,44,https://nykaa.com/review/NYK-003
NYK-004,2026-01-27T13:45:18Z,NaturalBeauty_Hyderabad,5,Collagen night cream - morning skin goals!,Woke up this morning and my cheeks felt like silk. Been using Collagen Night Cream for 3 weeks. The texture is thick but absorbs by morning. No breakouts (I have acne-prone skin). My skin looks so dewy! Worth every rupee from Nykaa.,Collagen Night Cream,MW-CNC-50,true,38,https://nykaa.com/review/NYK-004
NYK-005,2026-01-28T10:15:50Z,SunProtect_Chennai,4,Sunscreen finally! No white cast!,"As a WOC with medium skin tone finding a sunscreen without white cast is SO hard. This MosaicWellness SPF50 is a dream. Lightweight, no cast, and I feel protected. Wish it had a pump dispenser but otherwise perfect. Ordering my 3rd tube!",Sunscreen SPF50 50g,MW-SS-50,true,52,https://nykaa.com/review/NYK-005
NYK-006,2026-01-28T15:30:22Z,BeautyReviewer_Kolkata,2,Glow Serum broke me out badly!,Really wanted to love this but it gave me a cluster of closed comedones all over my forehead. I have combination-oily skin and the serum was too occlusive for me. Read the ingredients carefully before buying if you're acne prone. Packaging is beautiful though.,Glow Serum 30ml,MW-GS-30,true,47,https://nykaa.com/review/NYK-006
NYK-007,2026-01-29T09:05:40Z,GlowUpQueen_Mumbai,5,Vitamin C wash - transformed my skin!,"Yaar yeh face wash toh ek no. ka hai! 2 mahine mein meri skin ka rang literally change ho gaya. Glow aa gaya, spots fade ho gaye. Sirf Rs 349 mein itna result! Nykaa par mil raha hai at discounted price. Definitely recommend karta hoon sab ko.",Vitamin C Face Wash,MW-VCW-100,true,61,https://nykaa.com/review/NYK-007
NYK-008,2026-01-29T14:20:15Z,AntiAgingFan_Bangalore,4,"Night cream - seeing gradual improvement""","At 45, I need serious skincare and the Collagen Night Cream delivers. My neck skin is noticeably firmer. Under-eye area is less crepey. It's not a miracle but consistent use shows real results. Price is fair for the quality. Will continue using.",Collagen Night Cream,MW-CNC-50,true,29,https://nykaa.com/review/NYK-008
NYK-009,2026-01-30T11:00:33Z,OilControl_Hyderabad,5,Hair oil for the scalp, not just hair!,I have a flaky scalp and this Hair Growth Oil has been amazing for it. The itchiness and flaking have reduced significantly. I apply it to my scalp specifically and massage for 5 minutes. Such a therapeutic experience! Hair is also thicker. Nykaa delivery was quick.,Hair Growth Oil 100ml,MW-HGO-100,true,33
NYK-010,2026-01-30T15:45:28Z,SkepticalBuyer_Pune,1,Product description doesn't match what I received!,The Glow Serum on the Nykaa product page shows 45+ ingredients including retinol. The bottle I received has a different ingredient list with no retinol. Did MosaicWellness change the formula without updating the listing? This is misleading! Demanding a refund. Very disappointed.,Glow Serum 30ml,MW-GS-30,false,78,https://nykaa.com/review/NYK-010
NYK-011,2026-01-31T09:30:55Z,SuncareLover_Delhi,5,SPF50 - my everyday essential!,"Hot girl summer all year round? Yes please! This sunscreen is the backbone of my skincare routine. I reapply every 2-3 hours outdoors. Zero tan, zero burn. My skin has actually gotten lighter over time because I'm actually protecting it consistently. Perfect product from MosaicWellness.",Sunscreen SPF50 50g,MW-SS-50,true,42,https://nykaa.com/review/NYK-011
NYK-012,2026-01-31T13:55:40Z,PoreShrinkingFan_Mumbai,3,"Vitamin C wash - okay for oily skin""","The face wash is decent but I expected more brightening for the price. Maybe I've used stronger vitamin C products. The foam is nice and it doesn't strip skin. My skin feels clean. But for Rs 349, I expected to see more brightening results in 6 weeks. Average product.",Vitamin C Face Wash,MW-VCW-100,true,11,https://nykaa.com/review/NYK-012
NYK-013,2026-02-01T10:20:18Z,NightTimeRoutine_Chennai,5,Collagen cream - my skin's best friend!,"Okay so I have dry skin that gets VERY dry in winter. The Collagen Night Cream has saved my skin this winter season. I wake up with plump, hydrated skin. No tightness, no flaking. My makeup goes on so smoothly now. Love love love! Already bought a backup jar.",Collagen Night Cream,MW-CNC-50,true,55,https://nykaa.com/review/NYK-013
