id,date,channel,product,issue_type,complaint_text,resolved,resolution_time_hours,agent_id
CMP-001,2024-11-18,email,Man Matters Advanced Hair Growth Serum 30ml,delivery,Customer reporting 8-day delay on expected 3-day delivery via Bluedart. Tracking shows no movement since Nov 12. Customer has called 3 times and each time told to wait 3 more days. Requesting urgent resolution.,true,36,AGT-005
CMP-002,2024-12-20,email,Man Matters Advanced Hair Growth Serum 30ml,product_quality,Customer reports the serum consistency seems different from previous purchase - significantly runnier. Batch MM-AHS-OCT-24. Notes hair fall actually increased after switching to this batch. Requesting investigation.,true,72,AGT-002
CMP-003,2025-01-10,phone,Be Bodywise 10% Vitamin C Face Serum 20ml,product_quality,Customer reports serum turned slightly orange after 6 weeks indicating oxidation. Experiencing skin redness and irritation. Was storing at room temperature. Requesting replacement. Advised on proper cool dark storage.,true,12,AGT-003
CMP-004,2025-02-05,social_media,Be Bodywise Biotin Hair Gummies 60ct,side_effects,Customer on Instagram reporting cystic acne on jawline and forehead after 3 weeks of biotin gummies. Customer not satisfied with purge period explanation as mechanism is B5 depletion not typical purge. Offered replacement and connected with nutritionist.,true,8,AGT-001
CMP-005,2025-03-22,amazon,Be Bodywise Hair Growth Serum Roll On 25ml,product_quality,Amazon review flagged - customer says serum made their scalp extremely dry and hair looks thin fragile and dry. Batch BB-HGS-FEB-25 checked. Advised to reduce application frequency and add nourishing oil. Offered partial refund.,true,48,AGT-004
CMP-006,2025-04-15,email,Be Bodywise Ultra Light Sunscreen SPF50+ 50g,product_quality,Customer reports sunscreen consistency is very runny unlike previous purchase. Minimal coverage feeling. Possible batch variation. Batch BB-USS-MAR-25 flagged for QC review. Replacement shipped.,true,24,AGT-002
CMP-007,2025-05-08,phone,Man Matters Biotin Gummies for Hair & Skin 60ct,packaging,Package arrived with broken inner seal on one bottle. Customer concerned about supplement safety and contamination. Initiated immediate full replacement and raised packaging concern with warehouse.,true,6,AGT-005
CMP-008,2025-06-18,email,Be Bodywise Hair Growth Serum Roll On 50ml,side_effects,Customer reporting scalp dryness and flaking after 2 weeks of daily use. Combination-oily scalp type. Advised to reduce frequency to alternate days and use a lightweight scalp moisturiser. Symptoms resolved after frequency reduction.,true,4,AGT-003
CMP-009,2025-07-20,nykaa,Be Bodywise 10% Vitamin C Face Serum 20ml,product_quality,Nykaa review flagged - customer says product arrived with seal broken and color already slightly yellow suggesting possible oxidation before use. Cold chain or warehouse storage issue likely. Replacement sent with investigation raised.,true,18,AGT-001
CMP-010,2025-08-12,social_media,Man Matters Advanced Hair Growth Serum 30ml,billing,Customer on Twitter reporting subscription charge after cancellation. Second occurrence for this customer. Immediate refund processed and subscription permanently cancelled. Escalated to product team for subscription bug fix.,true,2,AGT-004
CMP-011,2025-09-05,email,Be Bodywise Biotin Hair Gummies 60ct,pricing,Customer questioning 38% price increase on biotin gummies over 18 months. No specific complaint but expressed frustration about affordability. Standard pricing response provided noting ingredient cost increases. Shared loyalty discount code.,true,3,AGT-002
CMP-012,2025-10-18,phone,Man Matters Advanced Hair Growth Serum 30ml,delivery,Customer received order with leaking product bottle - loose cap. Outer packaging intact but product bottle cap was not properly sealed. Replacement shipped same day. Packaging team notified.,true,4,AGT-005
CMP-013,2025-11-22,app,Man Matters Biotin Gummies for Hair & Skin 60ct,billing,Customer on Man Matters app charged after cancellation again - this appears to be a recurring billing system bug. Refund processed immediately. Escalated as P1 to engineering team with multiple similar complaints received this month.,false,168,AGT-003
CMP-014,2025-12-10,email,Be Bodywise Hair Growth Serum Roll On 25ml,product_quality,Customer reports zero visible results after 6 weeks of daily use. Expectations not aligned with 3-6 month efficacy timeline. Educated customer on realistic expectations and recommended continuing for minimum 3 months. No replacement warranted.,true,6,AGT-001
CMP-015,2026-01-15,amazon,Man Matters Advanced Hair Growth Serum 30ml,product_quality,Amazon review flagged - customer applied serum twice daily for 2 months with no improvement. No decrease in hair fall or new growth. Possibly incorrect application technique - advised on scalp massage method. No batch issue identified.,true,24,AGT-004
CMP-016,2026-01-28,phone,Man Matters Biotin Gummies for Hair & Skin 60ct,delivery,Customer received only 2 of 3 products in a 3-month hair kit. Support requested unboxing video which customer did not have. Customer escalated and disputed with credit card. Full kit reshipped after dispute escalation.,true,96,AGT-002
CMP-017,2026-02-08,email,Be Bodywise Ultra Light Sunscreen SPF50+ 50g,product_quality,Customer raising concern about SPF accuracy based on informal UV paper test showing lower protection than SPF50 labeled. Shared brand's testing methodology and certification documentation. Compliance team notified to review labeling claims.,false,48,AGT-005
CMP-018,2026-02-15,social_media,Man Matters Advanced Hair Growth Serum 30ml,product_quality,Multiple Twitter complaints about batch variation - serum consistency runnier and reduced efficacy in recent batches. QC team investigating batches MM-AHS-NOV-25 and MM-AHS-DEC-25. Proactive customer outreach planned if QC confirms variance.,false,0,AGT-001
