id,timestamp,author,rating,title,text,product,sku,verified,helpful_votes,url
AMZ-001,2024-06-15T09:00:00Z,Sonakshi P.,5,Roll-on makes all the difference,"I didn't like using serum because it used to drip a lot but this roll-on has made it easier. It absorbs into the scalp instantly. Have been using for last 3 months and have seen hair growth!",Be Bodywise Hair Growth Serum Roll On 25ml,BB-HGS-25,true,18,https://bebodywise.com/product/hair-growth-serum-roll-on
AMZ-002,2024-07-10T11:30:00Z,Jasmine Singh,5,Completely changed my view,"I was skeptical at first but this hair growth roll on completely changed my view. Its so quick and easy to use. Absorbs in my scalp instantly. In 3 months my hair growth has increased. Just love it",Be Bodywise Hair Growth Serum Roll On 25ml,BB-HGS-25,true,24,https://bebodywise.com/product/hair-growth-serum-roll-on
AMZ-003,2024-08-05T14:00:00Z,Sangeetha,5,Amazing hair growth,"I can't believe the hair growth...its just amazing. My hair thinning has reduced all thanks to Bodywise. Aur thinning waale area se hair fall bhi kam hua hai. Roll on is amazing too so easy and mess free. Loving the results and hair growth roll on",Be Bodywise Hair Growth Serum Roll On 25ml,BB-HGS-25,true,31,https://bebodywise.com/product/hair-growth-serum-roll-on
AMZ-004,2024-09-12T08:00:00Z,Anita Singhania,4,Gifted to my sister too,"My hair fall also reduced initially and also saw new hair growth. I have been using for 3 months and have also gifted to my sister",Be Bodywise Hair Growth Serum Roll On 25ml,BB-HGS-25,true,11,https://bebodywise.com/product/hair-growth-serum-roll-on
AMZ-005,2024-10-20T16:00:00Z,Yukti Sharma,5,Hair growth and volume both increased,"Have used it for last 3-4 months and look at the results. Hair growth and hair volume both increased so much!!",Be Bodywise Hair Growth Serum Roll On 50ml,BB-HGS-50,true,29,https://bebodywise.com/product/hair-growth-serum-roll-on-50ml
AMZ-006,2024-11-08T10:00:00Z,Rachna S.,5,Best purchase for hair,"Started using these gummies 3.5 months back. My hair fall has reduced sooo much now! First i got discouraged because i didn't see any results in 1 month but i still continued! Best purchase i ever made for my hair.",Be Bodywise Biotin Hair Gummies 60ct,BB-BHG-60,true,22,https://bebodywise.com/product/hair-health-gummies
AMZ-007,2024-12-15T12:00:00Z,Divya Garg,5,Bodywise has been godsent!,"I had tried sooo many things and nothing worked for me. But bodywise has been godsent! I saw great results by the 3rd month. Hair fall has reduced a lot. I recommend this to everyone. It takes time but it surely works. I am soo happy and satisfied with the results.",Be Bodywise Biotin Hair Gummies 60ct,BB-BHG-60,true,35,https://bebodywise.com/product/hair-health-gummies
AMZ-008,2025-01-18T09:30:00Z,Pratibha Singh,5,Hair fall reduced by 60%,"I didn't believe I would see any results but I'm pleasantly surprised. I started noticing some changes in the 2nd month. It's my 4th month now and hair fall has reduced by more than 60%.",Be Bodywise Biotin Hair Gummies 60ct,BB-BHG-60,true,17,https://bebodywise.com/product/hair-health-gummies
AMZ-009,2025-02-01T14:00:00Z,Tanmaya Das,5,Actually works as claimed,"After shower less hair on the comb...loving it! These gummies actually work and do what they claim. Ghar pe sabne bola ye acha hai.",Be Bodywise Biotin Hair Gummies 60ct,BB-BHG-60,true,13,https://bebodywise.com/product/hair-health-gummies
AMZ-010,2024-06-28T11:00:00Z,Shilpi Sharma,5,Hair fall bilkul kam ho gya hai,"Bohot kuchh try kiya. Be Bodywise jaisa kuchh nahin. Jo results chahiye the wo dikhe 3 mahine mein. Hair fall bilhul kam ho gya hai. Gummies kaafi tasty bhi hai.",Be Bodywise Biotin Hair Gummies 60ct,BB-BHG-60,true,20,https://bebodywise.com/product/hair-health-gummies
